Entity,,Year,Annual CO₂ emissions (tonnes ),
British Virgin Islands,,2005,131904,
Brunei,,2000,4590992,
Brunei,,2001,4389472,
Brunei,,2002,4253904,
Brunei,,2003,4470080,
Brunei,,2004,4873120,
Brunei,,2005,4869456,
Bulgaria,,2000,45213926.4,
Bulgaria,,2001,48923315.3,
Bulgaria,,2002,46166363.8,
Bulgaria,,2003,50414461.2,
Bulgaria,,2004,49508639.4,
Bulgaria,,2005,50591294.7,
Burkina Faso,,2000,1030896.77,
Burkina Faso,,2001,991685.87,
Burkina Faso,,2002,1001076.2,
Burkina Faso,,2003,1074309.05,
Burkina Faso,,2004,1099909.89,
Burkina Faso,,2005,1121846.74,
Burundi,,2000,271136,
Burundi,,2001,205184,
Burundi,,2002,212512,
Burundi,,2003,161216,
Burundi,,2004,197856,
Burundi,,2005,153888,
Cambodia,,2000,1974896,
Cambodia,,2001,2249696,
Cambodia,,2002,2205728,
Cambodia,,2003,2377936,
Cambodia,,2004,2443888,
Cambodia,,2005,2773648,
Cameroon,,2000,3345847.83,
Cameroon,,2001,3324991.5,
Cameroon,,2002,3324049.35,
Cameroon,,2003,3698490.75,
Cameroon,,2004,3850062.25,
Cameroon,,2005,3591269.14,
Canada,,2000,572530740,
Canada,,2001,564635320,
Canada,,2002,570885098,
Canada,,2003,587596291,
Canada,,2004,585832799,
Canada,,2005,576801629,
Cape Verde,,2000,216176,
Cape Verde,,2001,234496,
Cape Verde,,2002,274800,
Cape Verde,,2003,307776,
Cape Verde,,2004,329760,
Cape Verde,,2005,439680,
Cayman Islands,,2000,465328,
Cayman Islands,,2001,468992,
Cayman Islands,,2002,487312,
Cayman Islands,,2003,494640,
Cayman Islands,,2004,461664,
Cayman Islands,,2005,472656,
Central African Republic,,2000,267472,
Central African Republic,,2001,245488,
Central African Republic,,2002,245488,
Central African Republic,,2003,234496,
Central African Republic,,2004,234496,
Central African Republic,,2005,234496,
Chad,,2000,175872,
Chad,,2001,172208,
Chad,,2002,168544,
Chad,,2003,381056,
Chad,,2004,377392,
Chad,,2005,399376,
Chile,,2000,58113694.3,
Chile,,2001,52576557.2,
Chile,,2002,54490336.2,
Chile,,2003,54884195.5,
Chile,,2004,59047507.8,
Chile,,2005,60947142.8,
China,,2000,3349294776,
China,,2001,3426144062,
China,,2002,3782439297,
China,,2003,4452310296,
China,,2004,5125894416,
China,,2005,5771168440,
Colombia,,2000,56215715.6,
Colombia,,2001,55251474.9,
Colombia,,2002,54853226.6,
Colombia,,2003,56728246.4,
Colombia,,2004,54551411.8,
Colombia,,2005,60250755.2,
Comoros,,2000,102592,
Comoros,,2001,102592,
Comoros,,2002,102592,
Comoros,,2003,131904,
Comoros,,2004,142896,
Comoros,,2005,139232,
Republic of the Congo,,2000,1045829.88,
Republic of the Congo,,2001,765776,
Republic of the Congo,,2002,575248,
Republic of the Congo,,2003,916000,
Republic of the Congo,,2004,948976,
Republic of the Congo,,2005,971447.59,
Cook Islands,,2000,47632,
Cook Islands,,2001,32976,
Cook Islands,,2002,29312,
Cook Islands,,2003,32976,
Cook Islands,,2004,54960,
Cook Islands,,2005,62288,
Costa Rica,,2000,5394476.45,
Costa Rica,,2001,5665918.37,
Costa Rica,,2002,6226436.24,
Costa Rica,,2003,6528540.71,
Costa Rica,,2004,6798004.42,
Costa Rica,,2005,6687160.05,
Cote d'Ivoire,,2000,6463296,
Cote d'Ivoire,,2001,7397616,
Cote d'Ivoire,,2002,6957936,
Cote d'Ivoire,,2003,5133264,
Cote d'Ivoire,,2004,7335328,
Cote d'Ivoire,,2005,7496544,
Croatia,,2000,19815735.3,
Croatia,,2001,20966698,
Croatia,,2002,22053970.7,
Croatia,,2003,23386284.5,
Croatia,,2004,23044755.8,
Croatia,,2005,23489533.9,
Cuba,,2000,25944239.2,
Cuba,,2001,25332188.3,
Cuba,,2002,25965596.3,
Cuba,,2003,25355110.2,
Cuba,,2004,24865950.7,
Cuba,,2005,25847646.7,
